use,category,name,name,thickness,height,width,price,packing_unit,trader,description,use_for_food
paper_groups_properties,paper_groups_properties,paper_groups,papers,papers,paper_groups,paper_groups,papers,papers,papers_properties,papers,papers
string,string,string,string,string,string,string,string,string,string,string,string
生地,marushige paper,JETエース,W,,1100,800,57,,河原紙業,,1
生地,marushige paper,JETエース,W,#8,1100,800,65,,河原紙業,,1
生地,marushige paper,OKボール,,#7,1100,800,43.4,,河原紙業,,
生地,marushige paper,OKボール,,#8,1100,800,49,,河原紙業,,
生地,marushige paper,サンダイヤ,,#7,1100,800,51,,河原紙業,,
生地,marushige paper,京王 特白ボール,,#8,1100,800,66.5,,河原紙業,,
生地,marushige paper,スーパー兼六ボール,N,#11,1100,800,65,,河原紙業,,
生地,marushige paper,スーパー兼六ボール,N,#13,1120,820,80,,河原紙業,,
生地,marushige paper,スーパー兼六ボール,N,#15,1120,820,93,,河原紙業,,
生地,marushige paper,スーパー兼六ボール,N,#17,940,640,70,,河原紙業,,
生地,marushige paper,スーパー兼六ボール,N,#17,1100,800,104,,河原紙業,,
生地,marushige paper,DDボール,,#20,1120,820,133,,河原紙業,,
生地,marushige paper,DDボール,,#22,1120,820,146,,河原紙業,,
生地,marushige paper,DDボール,,#26,1100,800,200,,河原紙業,,
生地,marushige paper,両面白龍,A,#11,820,730,　,,河原紙業,,
生地,marushige paper,両面白龍,A,#13,820,730,60,,河原紙業,,
生地,marushige paper,両面白龍,A,#13,1120,820,92,,河原紙業,,
生地,marushige paper,NEW DV,,#12,1100,800,88,,河原紙業,,
生地,marushige paper,コートボール,,#6,1100,800,39.4,,河原紙業,,
生地,marushige paper,コートボール,,,1100,800,43.5,,河原紙業,,
生地,marushige paper,コートボール,,,1100,800,49,,河原紙業,,
生地,marushige paper,両黒,,#6,1100,800,76.6,100,河原紙業,,
生地,marushige paper,片黒,,,1100,800,71,100,河原紙業,,
生地,marushige paper,大和黒ボール（片黒）,,#8,1100,800,92.75,50,河原紙業,,
生地,marushige paper,大和両面黒ボール,,#8,1100,800,97.3,50,河原紙業,,
生地,marushige paper,加賀CCボール,N,#30,1100,800,180.84,20,河原紙業,,
生地,marushige paper,加賀CCボール,N,#32,1100,800,193.17,20,河原紙業,,
生地,marushige paper,加賀CCボール,N,#34,1100,800,204.815,20,河原紙業,,
生地,marushige paper,加賀CCボール,N,#36,1100,800,217.145,10,河原紙業,,
生地,marushige paper,両面白龍,A,,1100,800,71.5,,旭洋紙パルプ,,
生地,marushige paper,　No.2102,赤金,,1100,800,144,100,川島商事,,
生地,marushige paper,No.2315,食品シルバー,,1100,790,,50,,,
生地,marushige paper,N0.2316,食品ゴールド,,1100,790,142,50,川島商事,,
生地,marushige paper,No.2317,食品レッド,,1100,790,142,,川島商事,,
生地,marushige paper,N0.2318,食品ブラック,,1100,790,142,50,川島商事,,
生地,marushige paper,No.2302,消ゴールド,,1100,800,145,100,川島商事,,
生地,marushige paper,No.2014,銀ナシ地,,1100,800,137,,川島商事,,
生地,marushige paper,No.2604,ウールボール黒,,1100,800,450,,,,
生地,marushige paper,No.2820,耐水耐油,,1100,800,106,100,,,
生地,marushige paper,N0.2571,木目/銀,,1100,800,149,100,川島商事,,
生地,marushige paper,N0.2819,食品剥離シート,,1100,800,,100,川島商事,,
生地,marushige paper,耐油ボール,,,1100,800,84.4,100,川島商事,,
生地,marushige paper,食品金ボール,,,1100,800,140,,河原紙業,,1
生地,marushige paper,No.4511,両白,#11,1100,800,65,,旭洋紙パルプ,,
生地,marushige paper,No0.4512,両白,#13,1100,800,72,,旭洋紙パルプ,,
生地,marushige paper,No0.4513,両白,#20,1100,800,106,,旭洋紙パルプ,,
生地,marushige paper,No0.4514,両白,#22,1100,800,117,,旭洋紙パルプ,,
生地,marushige paper,Newタフアイボリー,,<28>,1100,800,53.76,,河原紙業,,1
生地,marushige paper,Newタフアイボリー,,<32.5>,1100,800,68.16,,河原紙業,,1
生地,marushige paper,N-三菱耐水,,#6-2,1100,800,,100,河原紙業,,
生地,marushige paper,N-三菱耐水,,#5-2,1100,800,,100,河原紙業,,
生地,marushige paper,ケンランうぐいす,,,1091,788,148,50,川島商事,,
生地,marushige paper,OK ACカード,うす鼡,<309>,1091,788,165,50,川島商事,,
生地,marushige paper,彩美カード,白,<355>,1091,788,147,50,川島商事,,
生地,marushige paper,塩ビシート,,,1091,788,177,,,,
生地,marushige paper,黄ボール,,#9,1100,800,51.35,,河原紙業,,
生地,marushige paper,黄ボール,,#17,1100,800,100,,河原紙業,,
生地,marushige paper,黄ボール,,#24,1100,800,162,,河原紙業,,
生地,marushige paper,黄ボール,,#28,1100,800,185,,河原紙業,,
生地,marushige paper,黄ボール,,#32,820,730,163.4,,河原紙業,,
生地,marushige paper,両ネズボール,,#15,1100,800,82.48,25,河原紙業,,
生地,marushige paper,両ネズボール,,#17,1100,800,96,25,河原紙業,,
生地,marushige paper,加賀,片黒ボール,#13,1100,800,140,50,河原紙業,,
生地,marushige paper,加賀,片黒ボール,#15,1100,800,161.7,25,河原紙業,,
生地,marushige paper,加賀,黄板,#11,1100,800,61.6,,,,
生地,marushige paper,DKブラック,,,1100,800,210,50,河原紙業,,
生地,marushige paper,加賀クラフト,,#8,1100,800,56,50,河原紙業,,
生地,marushige paper,KO特白,,,1100,800,66.5,50,河原紙業,,
貼紙,marushige paper,スター　,No.3001,,1100,800,40,250,川島商事,,
貼紙,marushige paper,スター　,No.3009,,1100,788,108,500,川島商事,湯の花リゾート 翠泉　500枚 ⇒105円、1000枚⇒102円,
貼紙,marushige paper,スター　,No.3014,,1100,788,130,100,,,
貼紙,marushige paper,スター　,No.3015,,1100,788,125,100,川島商事,,
貼紙,marushige paper,スター　,No.3022,,1100,788,114,100,川島商事,,
貼紙,marushige paper,スター　,No.3032,,1091,788,121,,,,
貼紙,marushige paper,スター　,No.3034,,1091,788,46,200,,,
貼紙,marushige paper,スター　,No.3037,,1091,788,65,200,,,
