category,name,name,thickness,height,width,price,packing_unit,trader,description,use_for_food
document_property,document,instance,instance,document,document,instance,instance,instance_property,instance,instance
string,string,string,string,string,string,string,string,string,string,string
ボール,JETエース,W,,1100,800,57,,河原紙業,,1
ボール,JETエース,W,#8,1100,800,65,,河原紙業,,1
ボール,OKボール,,#7,1100,800,43.4,,河原紙業,,
ボール,OKボール,,#8,1100,800,49,,河原紙業,,
ボール,サンダイヤ,,#7,1100,800,51,,河原紙業,,
ボール,京王 特白ボール,,#8,1100,800,66.5,,河原紙業,,
ボール,スーパー兼六ボール,N,#11,1100,800,65,,河原紙業,,
ボール,スーパー兼六ボール,N,#13,1120,820,80,,河原紙業,,
ボール,スーパー兼六ボール,N,#15,1120,820,93,,河原紙業,,
ボール,スーパー兼六ボール,N,#17,940,640,70,,河原紙業,,
ボール,スーパー兼六ボール,N,#17,1100,800,104,,河原紙業,,
ボール,DDボール,,#20,1120,820,133,,河原紙業,,
ボール,DDボール,,#22,1120,820,146,,河原紙業,,
ボール,DDボール,,#26,1100,800,200,,河原紙業,,
ボール,両面白龍,A,#11,820,730,　,,河原紙業,,
ボール,両面白龍,A,#13,820,730,60,,河原紙業,,
ボール,両面白龍,A,#13,1120,820,92,,河原紙業,,
ボール,NEW DV,,#12,1100,800,88,,河原紙業,,
ボール,コートボール,,#6,1100,800,39.4,,河原紙業,,
ボール,コートボール,,,1100,800,43.5,,河原紙業,,
ボール,コートボール,,,1100,800,49,,河原紙業,,
ボール,両黒,,#6,1100,800,76.6,100,河原紙業,,
ボール,片黒,,,1100,800,71,100,河原紙業,,
ボール,大和黒ボール（片黒）,,#8,1100,800,92.75,50,河原紙業,,
ボール,大和両面黒ボール,,#8,1100,800,97.3,50,河原紙業,,
ボール,加賀CCボール,N,#30,1100,800,180.84,20,河原紙業,,
ボール,加賀CCボール,N,#32,1100,800,193.17,20,河原紙業,,
ボール,加賀CCボール,N,#34,1100,800,204.815,20,河原紙業,,
ボール,加賀CCボール,N,#36,1100,800,217.145,10,河原紙業,,
ボール,両面白龍,A,,1100,800,71.5,,旭洋紙パルプ,,
ボール,　No.2102,赤金,,1100,800,144,100,川島商事,,
ボール,No.2315,食品シルバー,,1100,790,,50,,,
ボール,N0.2316,食品ゴールド,,1100,790,142,50,川島商事,,
ボール,No.2317,食品レッド,,1100,790,142,,川島商事,,
ボール,N0.2318,食品ブラック,,1100,790,142,50,川島商事,,
ボール,No.2302,消ゴールド,,1100,800,145,100,川島商事,,
ボール,No.2014,銀ナシ地,,1100,800,137,,川島商事,,
ボール,No.2604,ウールボール黒,,1100,800,450,,,,
ボール,No.2820,耐水耐油,,1100,800,106,100,,,
ボール,N0.2571,木目/銀,,1100,800,149,100,川島商事,,
ボール,N0.2819,食品剥離シート,,1100,800,,100,川島商事,,
ボール,耐油ボール,,,1100,800,84.4,100,川島商事,,
ボール,食品金ボール,,,1100,800,140,,河原紙業,,1
ボール,No.4511,両白,#11,1100,800,65,,旭洋紙パルプ,,
ボール,No0.4512,両白,#13,1100,800,72,,旭洋紙パルプ,,
