use,category,model_number,name,name,country,designer,contributor,publisher,material,description,description,height,width,price,file_name
paper_groups_properties,paper_groups_properties,papers,paper_groups,papers,paper_groups_properties,paper_groups_properties,paper_groups_properties,paper_groups_properties,paper_groups_properties,paper_groups,papers,paper_groups,paper_groups,papers,papers
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-30,puntopunto,orange,Japan,葵・フーバー・河野,友禅工房,BOX & NEEDLE,,イラストレーター・絵本作家として、スイスで長きにわたり活動を続けている葵・フーバー・河野さん（studio puntovirgola）とコラボレーションをした、BOX&NEEDLE のオリジナルペーパーです。「puntopunto（プントプント）」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。「プント」とはスペイン語で「点」という意味。,柔らかなオレンジ・グリーン・イエローの”点々”が織りなす、愛らしくて優しい世界が広がっています。,995,640,1200,106399551.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-26,puntopunto,red,Japan,葵・フーバー・河野,友禅工房,BOX & NEEDLE,,イラストレーター・絵本作家として、スイスで長きにわたり活動を続けている葵・フーバー・河野さん（studio puntovirgola）とコラボレーションをした、BOX&NEEDLE のオリジナルペーパーです。「puntopunto（プントプント）」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。「プント」とはスペイン語で「点」という意味。,鮮やかな赤・青・黄色の”点々”が織りなす、愛らしくて柔らかい世界が広がっています。,995,640,1200,96159322.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-25,EXPO,,Japan,葵・フーバー・河野,友禅工房,BOX & NEEDLE,,"イラストレーター・絵本作家として、スイスで長きにわたり活動を続けているフーバー・葵さんとコラボレーションをした、BOX&NEEDLE のオリジナルペーパーです。 「EXPO（エキスポ）」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。赤や緑、紫など色の重なりが魅力的。グラフィカルなデザインに楽しい色づかいが目を惹きます。",,995,640,1200,96159276.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-egg-02,PARTY CROWD,pink,Japan,,egg press;友禅工房,BOX & NEEDLE,,ポートランドの活版印刷カードメーカー「egg press」とコラボレーションをした、BOX&NEEDLE のオリジナルペーパー。\n「PARTY CROWD」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。楽しそうにはしゃぐ子どもたちが列をなす、賑やかでわくわくするデザイン。\n\n【egg press】\n活版印刷の復活を担うパイオニアの一社として、egg pressは世界中から注目を集めています。一枚いちまい丁寧に刷られているegg pressのグリーティングカード。そのデザインの最大の特徴とも言えるのが、ユニークな手書きのイラストです。やわらかな線で描かれたそのイラストは素朴でユーモアに溢れ、思わず笑みがこぼれるものばかり。独特のカラーセンスも光るそのデザインは多くの人々の心を惹き付けています。,オレンジ色味がかったサーモンピンクが、かわいさと楽しさを強調しているピンクです。,995,640,1200,100877728.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-egg-01,PARTY CROWD,blue,Japan,,egg press;友禅工房,BOX & NEEDLE,,ポートランドの活版印刷カードメーカー「egg press」とコラボレーションをした、BOX&NEEDLE のオリジナルペーパー。\n「PARTY CROWD」と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。楽しそうにはしゃぐ子どもたちが列をなす、賑やかでわくわくするデザイン。\n\n【egg press】\n活版印刷の復活を担うパイオニアの一社として、egg pressは世界中から注目を集めています。一枚いちまい丁寧に刷られているegg pressのグリーティングカード。そのデザインの最大の特徴とも言えるのが、ユニークな手書きのイラストです。やわらかな線で描かれたそのイラストは素朴でユーモアに溢れ、思わず笑みがこぼれるものばかり。独特のカラーセンスも光るそのデザインは多くの人々の心を惹き付けています。,やわらかい水色とブラウンの線がちょっぴり大人っぽいブルーです。,995,640,1200,100877259.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-27,APPLE,,Japan,本田このみ,友禅工房,BOX & NEEDLE,,「Green Curtain」「ice」などの作者である、木版作家 本田このみが手がけた、BOX&NEEDLEのオリジナルペーパーシリーズ。「APPLE」と名づけられたこの紙は、様々なりんごたちがリズミカルに描かれており、優しい色使いと愛らしいデザインが魅力的。友禅紙専門の工房で和紙に一枚いちまい手刷りされてるので、和紙の優しい手触りもお楽しみいただけます。,,995,640,1000,101142096.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-24,WOOL,,Japan,,友禅工房,BOX & NEEDLE,,こちらの紙はBOX & NEEDLEのオリジナルペーパー【WOOL】(ウール）です。木彫りの版を幾重にも重ねて丁寧に刷り上げた木版画を原画に、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。毛糸の編み目をイメージしたデザインが、暖かな色で描かれています。日本の和紙ならではの柔らかな質感と豊かな色彩の織りなすバランスをお楽しみください。,,995,640,1000,95704000.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-JG-01,Doris,Yellow,Japan,,Johanna Gullichsen;友禅工房,BOX & NEEDLE,,フィンランドを代表するテキスタイルブランドJohanna Gullichsen（ヨハンナ・グリクセン）。シンプルありながら豊かなカラーバリエーションが魅力のフィンランドの伝統的な手法で織られています。その中でもヨハンナ・グリクセンを代表する幾何学模様のデザイン［Doris］を和紙の上に再現しました。テキスタイルの表情を織り模様まで丁寧に友禅工房の職人が刷り上げ、フィンランドと京都の伝統の技を集約した、BOX&NEEDLEのオリジナルペーパーが誕生しました。,こちらは柔らかく温かみのあるイエローです。,995,640,1200,100526680.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-JG-02,Doris,Blue,Japan,,Johanna Gullichsen;友禅工房,BOX & NEEDLE,,フィンランドを代表するテキスタイルブランドJohanna Gullichsen（ヨハンナ・グリクセン）。シンプルありながら豊かなカラーバリエーションが魅力のフィンランドの伝統的な手法で織られています。その中でもヨハンナ・グリクセンを代表する幾何学模様のデザイン［Doris］を和紙の上に再現しました。テキスタイルの表情を織り模様まで丁寧に友禅工房の職人が刷り上げ、フィンランドと京都の伝統の技を集約した、BOX&NEEDLEのオリジナルペーパーが誕生しました。,こちらは爽やかで深みのあるブルーです。,995,640,1200,100526691.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-JG-03,Doris,Black,Japan,,Johanna Gullichsen;友禅工房,BOX & NEEDLE,,フィンランドを代表するテキスタイルブランドJohanna Gullichsen（ヨハンナ・グリクセン）。シンプルありながら豊かなカラーバリエーションが魅力のフィンランドの伝統的な手法で織られています。その中でもヨハンナ・グリクセンを代表する幾何学模様のデザイン［Doris］を和紙の上に再現しました。テキスタイルの表情を織り模様まで丁寧に友禅工房の職人が刷り上げ、フィンランドと京都の伝統の技を集約した、BOX&NEEDLEのオリジナルペーパーが誕生しました。,こちらは上品で落ち着きのあるブラックです。,995,640,1200,100526713.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-29,PICNIC,Pink,Nepal,鹿児島睦,前田景,BOX & NEEDLE,ロクタペーパー,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。ネパール語の読みで「ピカニカ／PICNIC（ピクニック）」と名付けられたこちらの紙は、あたたかい風合いが魅力のロクタペーパーにプリント。一枚いちまい手漉きされた紙にシルクスクリーンで手刷りされており、制作はすべてネパールで行われています。【ロクタペーパーについて】標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。手透きの紙の為、紙の中に植物の繊維や樹皮等の混入、紙制作時に生じるシワが入る事がございます。あらかじめご了承下さいますようお願い申し上げます。,ピクニックに向かうウキウキとした気持ちを思わせる「ピンク×ナチュラル」。ロクタペーパーならではのザラリとした触り心地と、植物のかけらが混ざり合った表面は、鹿児島さんが制作されている器に通ずるものを感じます。,500,750,1000,101658275.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-28,PICNIC,White,Nepal,鹿児島睦,前田景,BOX & NEEDLE,ロクタペーパー,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。ネパール語の読みで「ピカニカ／PICNIC（ピクニック）」と名付けられたこちらの紙は、あたたかい風合いが魅力のロクタペーパーにプリント。一枚いちまい手漉きされた紙にシルクスクリーンで手刷りされており、制作はすべてネパールで行われています。【ロクタペーパーについて】標高2000～3000mに生息するネパール原産の植物「ロクタ」の樹皮を原料として作られています。手透きの紙の為、紙の中に植物の繊維や樹皮等の混入、紙制作時に生じるシワが入る事がございます。あらかじめご了承下さいますようお願い申し上げます。,穏やかな風と自然の力強さを思わせる「ホワイト×サンド」。ロクタペーパーならではのザラリとした触り心地と、植物のかけらが混ざり合った表面は、鹿児島さんが制作されている器に通ずるものを感じます。,500,750,1000,101657796.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-23,FLEURS BLEUES,,Japan ,鹿児島睦,前田景,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。フランス語で『FLEURS BLEUES（青い花）』という意味をもつこちらのデザインは、 和紙のような手触りが感じられるクラフト系の紙に再現しています。強度も高く加工がしやすいのが特徴。陶器の肌の質感までも伝わってくるようなプリントに仕上がりました。防水性の紙【LASTING PAPER】シリーズにも柄が小ぶりな「FLEURS BLEUES」がございます。,,620,875,1000,93000912.jpg
貼紙,BOX & NEEDLE ORIGINAL PAPER,PAPER-19,KUKINTA,Yellow,Japan,鹿児島睦,前田景;友禅工房,BOX & NEEDLE,,陶芸作家であり様々な分野でご活躍の鹿児島睦さんと、アートディレクターの前田景さんによる、BOX&NEEDLE のオリジナルペーパーです。「KUKINTA」（花盛り）と名づけられたこの紙は、友禅紙専門の工房で和紙に一枚いちまい手刷りされています。,やさしい山吹色の花や葉っぱに描かれた銀色の線が、繊細に盛り上がっており、手触りもご堪能いただけるオリジナルペーパーです。 ,995,640,1200,74339560.png
